"GEO_ID","NAME","B19013H_001M","B19013H_001MA","B19013H_001E","B19013H_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","20694","null","26625","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","7692","null","37481","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","16560","null","56500","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","6021","null","43155","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","4127","null","60724","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","15388","null","47336","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","10250","null","47794","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","26929","null","18750","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","14796","null","53661","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","17686","null","66667","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","25364","null","82067","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","21102","null","65509","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","31268","null","68462","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","7920","null","86250","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","24137","null","97532","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","9711","null","94734","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","14286","null","54706","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","14620","null","84531","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","21609","null","59281","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","12766","null","78421","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","11014","null","64688","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","40506","null","88393","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","19408","null","60417","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","11229","null","71364","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","34891","null","59909","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","12412","null","61250","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","26730","null","39095","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","22984","null","53750","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","19987","null","61439","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","44373","null","26467","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","2048","null","66076","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","18448","null","82273","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","17983","null","38519","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","12837","null","51818","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","10072","null","56474","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","2142","null","59622","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","15473","null","60063","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","6615","null","57000","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","10210","null","24901","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","3382","null","26922","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","14995","null","38875","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","9997","null","35183","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","10323","null","40685","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","6414","null","27978","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","11349","null","46597","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","15718","null","84760","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","12249","null","66818","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","21727","null","67500","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","23292","null","58472","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","44831","null","57569","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","20262","null","56094","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","15309","null","62813","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","16042","null","53472","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","24899","null","71979","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","28246","null","50400","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","23899","null","53520","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","3172","null","61367","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","9410","null","91250","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","11734","null","52614","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","8930","null","48304","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","20245","null","28516","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","6812","null","23241","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","12740","null","18125","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","14789","null","37813","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","30066","null","45565","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","8014","null","23467","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","6774","null","18095","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","4684","null","32813","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","8504","null","50250","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","10771","null","39375","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","11008","null","88125","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","29172","null","87250","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","11608","null","109688","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","9768","null","57463","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","15466","null","91283","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","8533","null","44736","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","10778","null","69828","null",
