"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"1400000US04013116605","Census Tract 1166.05, Maricopa County, Arizona","30330","null","48931","null",
"1400000US04013116606","Census Tract 1166.06, Maricopa County, Arizona","9952","null","40921","null",
"1400000US04013116607","Census Tract 1166.07, Maricopa County, Arizona","47250","null","47738","null",
"1400000US04013116608","Census Tract 1166.08, Maricopa County, Arizona","56040","null","81333","null",
"1400000US04013116609","Census Tract 1166.09, Maricopa County, Arizona","30163","null","79291","null",
"1400000US04013116610","Census Tract 1166.10, Maricopa County, Arizona","40869","null","72539","null",
"1400000US04013116611","Census Tract 1166.11, Maricopa County, Arizona","178051","null","152554","null",
"1400000US04013116612","Census Tract 1166.12, Maricopa County, Arizona","23146","null","68421","null",
"1400000US04013116613","Census Tract 1166.13, Maricopa County, Arizona","92288","null","61618","null",
"1400000US04013116702","Census Tract 1167.02, Maricopa County, Arizona","17706","null","48617","null",
"1400000US04013116703","Census Tract 1167.03, Maricopa County, Arizona","14969","null","41875","null",
"1400000US04013116704","Census Tract 1167.04, Maricopa County, Arizona","8533","null","45658","null",
"1400000US04013116707","Census Tract 1167.07, Maricopa County, Arizona","65445","null","102679","null",
"1400000US04013116708","Census Tract 1167.08, Maricopa County, Arizona","35361","null","39375","null",
"1400000US04013116709","Census Tract 1167.09, Maricopa County, Arizona","59653","null","56563","null",
"1400000US04013116710","Census Tract 1167.10, Maricopa County, Arizona","64785","null","136250","null",
"1400000US04013116711","Census Tract 1167.11, Maricopa County, Arizona","39024","null","61458","null",
"1400000US04013116712","Census Tract 1167.12, Maricopa County, Arizona","44987","null","46935","null",
"1400000US04013116713","Census Tract 1167.13, Maricopa County, Arizona","41362","null","35893","null",
"1400000US04013116714","Census Tract 1167.14, Maricopa County, Arizona","97385","null","94318","null",
"1400000US04013116715","Census Tract 1167.15, Maricopa County, Arizona","142825","null","115170","null",
"1400000US04013116717","Census Tract 1167.17, Maricopa County, Arizona","15777","null","46020","null",
"1400000US04013116718","Census Tract 1167.18, Maricopa County, Arizona","12994","null","58958","null",
"1400000US04013116719","Census Tract 1167.19, Maricopa County, Arizona","22251","null","71875","null",
"1400000US04013116720","Census Tract 1167.20, Maricopa County, Arizona","43914","null","75671","null",
"1400000US04013116721","Census Tract 1167.21, Maricopa County, Arizona","113472","null","48646","null",
"1400000US04013116725","Census Tract 1167.25, Maricopa County, Arizona","47467","null","53750","null",
"1400000US04013116727","Census Tract 1167.27, Maricopa County, Arizona","42463","null","131071","null",
"1400000US04013116728","Census Tract 1167.28, Maricopa County, Arizona","118835","null","47500","null",
"1400000US04013116729","Census Tract 1167.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013116730","Census Tract 1167.30, Maricopa County, Arizona","**","**","-","-",
"1400000US04013116731","Census Tract 1167.31, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013116732","Census Tract 1167.32, Maricopa County, Arizona","138989","null","170734","null",
"1400000US04013116733","Census Tract 1167.33, Maricopa County, Arizona","***","***","250,000+","250,000+",
