"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","119","null","2133","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","25","null","686","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","63","null","633","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","96","null","1738","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","84","null","3742","null",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","42","null","2658","null",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","62","null","4290","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","45","null","2920","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","40","null","1962","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","33","null","1336","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","71","null","1468","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","42","null","2170","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","17","null","580","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","30","null","1585","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","44","null","1873","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","27","null","1801","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","45","null","1396","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","142","null","1665","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","65","null","864","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","46","null","2687","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","113","null","3721","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","50","null","2581","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","145","null","2364","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","97","null","2159","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","39","null","1816","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","105","null","2271","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","57","null","1157","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","57","null","1075","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","76","null","1758","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","25","null","995","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","34","null","1472","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","59","null","2451","null",
